count,timestamp,uniques,day,mo,yr,collection_timestamp
64,2019-12-21T00:00:00Z,25,21,12,2019,2020-01-03 22:54:18.757056
100,2019-12-22T00:00:00Z,31,22,12,2019,2020-01-03 22:54:18.757056
166,2019-12-23T00:00:00Z,59,23,12,2019,2020-01-03 22:54:18.757056
199,2019-12-24T00:00:00Z,68,24,12,2019,2020-01-03 22:54:18.757056
140,2019-12-25T00:00:00Z,52,25,12,2019,2020-01-03 22:54:18.757056
234,2019-12-26T00:00:00Z,82,26,12,2019,2020-01-03 22:54:18.757056
249,2019-12-27T00:00:00Z,75,27,12,2019,2020-01-03 22:54:18.757056
145,2019-12-28T00:00:00Z,42,28,12,2019,2020-01-03 22:54:18.757056
77,2019-12-29T00:00:00Z,30,29,12,2019,2020-01-03 22:54:18.757056
220,2019-12-30T00:00:00Z,55,30,12,2019,2020-01-03 22:54:18.757056
171,2019-12-31T00:00:00Z,51,31,12,2019,2020-01-03 22:54:18.757056
118,2020-01-01T00:00:00Z,42,01,01,2020,2020-01-03 22:54:18.757056
168,2020-01-02T00:00:00Z,73,02,01,2020,2020-01-03 22:54:18.757056
159,2020-01-03T00:00:00Z,54,03,01,2020,2020-01-03 22:54:18.757056
30,2020-01-04T00:00:00Z,9,04,01,2020,2020-01-03 22:54:18.757056
