count,timestamp,uniques,day,mo,yr,collection_timestamp
4,2019-12-30T00:00:00Z,4,30,12,2019,2020-01-13 09:32:48.073182
30,2019-12-31T00:00:00Z,22,31,12,2019,2020-01-13 09:32:48.073182
22,2020-01-01T00:00:00Z,12,01,01,2020,2020-01-13 09:32:48.073182
41,2020-01-02T00:00:00Z,20,02,01,2020,2020-01-13 09:32:48.073182
21,2020-01-03T00:00:00Z,15,03,01,2020,2020-01-13 09:32:48.073182
18,2020-01-04T00:00:00Z,13,04,01,2020,2020-01-13 09:32:48.073182
23,2020-01-05T00:00:00Z,17,05,01,2020,2020-01-13 09:32:48.073182
37,2020-01-06T00:00:00Z,23,06,01,2020,2020-01-13 09:32:48.073182
26,2020-01-07T00:00:00Z,22,07,01,2020,2020-01-13 09:32:48.073182
28,2020-01-08T00:00:00Z,21,08,01,2020,2020-01-13 09:32:48.073182
27,2020-01-09T00:00:00Z,17,09,01,2020,2020-01-13 09:32:48.073182
13,2020-01-10T00:00:00Z,13,10,01,2020,2020-01-13 09:32:48.073182
18,2020-01-11T00:00:00Z,12,11,01,2020,2020-01-13 09:32:48.073182
17,2020-01-12T00:00:00Z,12,12,01,2020,2020-01-13 09:32:48.073182
19,2020-01-13T00:00:00Z,16,13,01,2020,2020-01-13 09:32:48.073182
