timestamp,count,uniques,day,mo,yr,collection_timestamp
2019-10-12T00:00:00Z,24,20,12,10,2019,2019-10-25 17:39:19.132794
2019-10-13T00:00:00Z,21,14,13,10,2019,2019-10-25 17:39:19.132794
2019-10-14T00:00:00Z,37,20,14,10,2019,2019-10-25 17:39:19.132794
2019-10-15T00:00:00Z,31,26,15,10,2019,2019-10-25 17:39:19.132794
2019-10-16T00:00:00Z,26,24,16,10,2019,2019-10-25 17:39:19.132794
2019-10-17T00:00:00Z,18,15,17,10,2019,2019-10-25 17:39:19.132794
2019-10-18T00:00:00Z,34,24,18,10,2019,2019-10-25 17:39:19.132794
2019-10-19T00:00:00Z,24,16,19,10,2019,2019-10-25 17:39:19.132794
2019-10-20T00:00:00Z,23,18,20,10,2019,2019-10-25 17:39:19.132794
2019-10-21T00:00:00Z,26,22,21,10,2019,2019-10-25 17:39:19.132794
2019-10-22T00:00:00Z,30,25,22,10,2019,2019-10-25 17:39:19.132794
2019-10-23T00:00:00Z,33,28,23,10,2019,2019-10-25 17:39:19.132794
2019-10-24T00:00:00Z,44,35,24,10,2019,2019-10-25 17:39:19.132794
2019-10-25T00:00:00Z,24,20,25,10,2019,2019-10-25 17:39:19.132794
