count,timestamp,uniques,day,mo,yr,collection_timestamp
6,2019-12-15T00:00:00Z,6,15,12,2019,2019-12-29 03:22:15.910699
22,2019-12-16T00:00:00Z,18,16,12,2019,2019-12-29 03:22:15.910699
32,2019-12-17T00:00:00Z,22,17,12,2019,2019-12-29 03:22:15.910699
22,2019-12-18T00:00:00Z,17,18,12,2019,2019-12-29 03:22:15.910699
27,2019-12-19T00:00:00Z,22,19,12,2019,2019-12-29 03:22:15.910699
14,2019-12-20T00:00:00Z,11,20,12,2019,2019-12-29 03:22:15.910699
11,2019-12-21T00:00:00Z,9,21,12,2019,2019-12-29 03:22:15.910699
16,2019-12-22T00:00:00Z,15,22,12,2019,2019-12-29 03:22:15.910699
11,2019-12-23T00:00:00Z,10,23,12,2019,2019-12-29 03:22:15.910699
17,2019-12-24T00:00:00Z,8,24,12,2019,2019-12-29 03:22:15.910699
50,2019-12-25T00:00:00Z,10,25,12,2019,2019-12-29 03:22:15.910699
23,2019-12-26T00:00:00Z,19,26,12,2019,2019-12-29 03:22:15.910699
24,2019-12-27T00:00:00Z,20,27,12,2019,2019-12-29 03:22:15.910699
8,2019-12-28T00:00:00Z,8,28,12,2019,2019-12-29 03:22:15.910699
9,2019-12-29T00:00:00Z,9,29,12,2019,2019-12-29 03:22:15.910699
