count,timestamp,uniques,day,mo,yr,collection_timestamp
23,2019-11-15T00:00:00Z,19,15,11,2019,2019-11-28 13:07:47.955742
32,2019-11-16T00:00:00Z,22,16,11,2019,2019-11-28 13:07:47.955742
14,2019-11-17T00:00:00Z,11,17,11,2019,2019-11-28 13:07:47.955742
36,2019-11-18T00:00:00Z,23,18,11,2019,2019-11-28 13:07:47.955742
25,2019-11-19T00:00:00Z,20,19,11,2019,2019-11-28 13:07:47.955742
19,2019-11-20T00:00:00Z,18,20,11,2019,2019-11-28 13:07:47.955742
25,2019-11-21T00:00:00Z,23,21,11,2019,2019-11-28 13:07:47.955742
27,2019-11-22T00:00:00Z,19,22,11,2019,2019-11-28 13:07:47.955742
19,2019-11-23T00:00:00Z,16,23,11,2019,2019-11-28 13:07:47.955742
16,2019-11-24T00:00:00Z,15,24,11,2019,2019-11-28 13:07:47.955742
27,2019-11-25T00:00:00Z,19,25,11,2019,2019-11-28 13:07:47.955742
35,2019-11-26T00:00:00Z,26,26,11,2019,2019-11-28 13:07:47.955742
31,2019-11-27T00:00:00Z,24,27,11,2019,2019-11-28 13:07:47.955742
38,2019-11-28T00:00:00Z,28,28,11,2019,2019-11-28 13:07:47.955742
