uniques,count,timestamp,day,mo,yr,collection_timestamp
10,27,2019-11-22T00:00:00Z,22,11,2019,2019-12-06 11:16:29.762901
53,242,2019-11-23T00:00:00Z,23,11,2019,2019-12-06 11:16:29.762901
45,144,2019-11-24T00:00:00Z,24,11,2019,2019-12-06 11:16:29.762901
97,423,2019-11-25T00:00:00Z,25,11,2019,2019-12-06 11:16:29.762901
99,280,2019-11-26T00:00:00Z,26,11,2019,2019-12-06 11:16:29.762901
91,303,2019-11-27T00:00:00Z,27,11,2019,2019-12-06 11:16:29.762901
84,204,2019-11-28T00:00:00Z,28,11,2019,2019-12-06 11:16:29.762901
74,251,2019-11-29T00:00:00Z,29,11,2019,2019-12-06 11:16:29.762901
43,118,2019-11-30T00:00:00Z,30,11,2019,2019-12-06 11:16:29.762901
52,130,2019-12-01T00:00:00Z,01,12,2019,2019-12-06 11:16:29.762901
90,377,2019-12-02T00:00:00Z,02,12,2019,2019-12-06 11:16:29.762901
84,264,2019-12-03T00:00:00Z,03,12,2019,2019-12-06 11:16:29.762901
99,417,2019-12-04T00:00:00Z,04,12,2019,2019-12-06 11:16:29.762901
91,286,2019-12-05T00:00:00Z,05,12,2019,2019-12-06 11:16:29.762901
74,203,2019-12-06T00:00:00Z,06,12,2019,2019-12-06 11:16:29.762901
