timestamp,count,uniques,day,mo,yr,collection_timestamp
2019-10-06T00:00:00Z,230,39,06,10,2019,2019-10-19 19:00:06.751572
2019-10-07T00:00:00Z,328,85,07,10,2019,2019-10-19 19:00:06.751572
2019-10-08T00:00:00Z,309,80,08,10,2019,2019-10-19 19:00:06.751572
2019-10-09T00:00:00Z,253,86,09,10,2019,2019-10-19 19:00:06.751572
2019-10-10T00:00:00Z,301,88,10,10,2019,2019-10-19 19:00:06.751572
2019-10-11T00:00:00Z,155,56,11,10,2019,2019-10-19 19:00:06.751572
2019-10-12T00:00:00Z,127,38,12,10,2019,2019-10-19 19:00:06.751572
2019-10-13T00:00:00Z,109,35,13,10,2019,2019-10-19 19:00:06.751572
2019-10-14T00:00:00Z,268,82,14,10,2019,2019-10-19 19:00:06.751572
2019-10-15T00:00:00Z,291,89,15,10,2019,2019-10-19 19:00:06.751572
2019-10-16T00:00:00Z,267,93,16,10,2019,2019-10-19 19:00:06.751572
2019-10-17T00:00:00Z,285,99,17,10,2019,2019-10-19 19:00:06.751572
2019-10-18T00:00:00Z,367,93,18,10,2019,2019-10-19 19:00:06.751572
2019-10-19T00:00:00Z,189,49,19,10,2019,2019-10-19 19:00:06.751572
