timestamp,count,uniques,day,mo,yr,collection_timestamp
2019-09-25T00:00:00Z,2,2,25,09,2019,2019-10-09 12:05:33.456573
2019-09-26T00:00:00Z,22,19,26,09,2019,2019-10-09 12:05:33.456573
2019-09-27T00:00:00Z,14,13,27,09,2019,2019-10-09 12:05:33.456573
2019-09-28T00:00:00Z,18,16,28,09,2019,2019-10-09 12:05:33.456573
2019-09-29T00:00:00Z,13,11,29,09,2019,2019-10-09 12:05:33.456573
2019-09-30T00:00:00Z,29,24,30,09,2019,2019-10-09 12:05:33.456573
2019-10-01T00:00:00Z,24,16,01,10,2019,2019-10-09 12:05:33.456573
2019-10-02T00:00:00Z,37,28,02,10,2019,2019-10-09 12:05:33.456573
2019-10-03T00:00:00Z,31,28,03,10,2019,2019-10-09 12:05:33.456573
2019-10-04T00:00:00Z,28,23,04,10,2019,2019-10-09 12:05:33.456573
2019-10-05T00:00:00Z,13,12,05,10,2019,2019-10-09 12:05:33.456573
2019-10-06T00:00:00Z,16,14,06,10,2019,2019-10-09 12:05:33.456573
2019-10-07T00:00:00Z,18,12,07,10,2019,2019-10-09 12:05:33.456573
2019-10-08T00:00:00Z,28,17,08,10,2019,2019-10-09 12:05:33.456573
2019-10-09T00:00:00Z,17,16,09,10,2019,2019-10-09 12:05:33.456573
