count,timestamp,uniques,day,mo,yr,collection_timestamp
6,2019-12-21T00:00:00Z,6,21,12,2019,2020-01-03 22:54:20.095085
16,2019-12-22T00:00:00Z,15,22,12,2019,2020-01-03 22:54:20.095085
11,2019-12-23T00:00:00Z,10,23,12,2019,2020-01-03 22:54:20.095085
17,2019-12-24T00:00:00Z,8,24,12,2019,2020-01-03 22:54:20.095085
50,2019-12-25T00:00:00Z,10,25,12,2019,2020-01-03 22:54:20.095085
23,2019-12-26T00:00:00Z,19,26,12,2019,2020-01-03 22:54:20.095085
24,2019-12-27T00:00:00Z,20,27,12,2019,2020-01-03 22:54:20.095085
8,2019-12-28T00:00:00Z,8,28,12,2019,2020-01-03 22:54:20.095085
21,2019-12-29T00:00:00Z,16,29,12,2019,2020-01-03 22:54:20.095085
21,2019-12-30T00:00:00Z,15,30,12,2019,2020-01-03 22:54:20.095085
30,2019-12-31T00:00:00Z,22,31,12,2019,2020-01-03 22:54:20.095085
22,2020-01-01T00:00:00Z,12,01,01,2020,2020-01-03 22:54:20.095085
41,2020-01-02T00:00:00Z,20,02,01,2020,2020-01-03 22:54:20.095085
21,2020-01-03T00:00:00Z,15,03,01,2020,2020-01-03 22:54:20.095085
5,2020-01-04T00:00:00Z,3,04,01,2020,2020-01-03 22:54:20.095085
