count,timestamp,uniques,day,mo,yr,collection_timestamp
220,2019-10-14T00:00:00Z,63,14,10,2019,2019-10-27 22:43:08.055101
291,2019-10-15T00:00:00Z,89,15,10,2019,2019-10-27 22:43:08.055101
267,2019-10-16T00:00:00Z,93,16,10,2019,2019-10-27 22:43:08.055101
285,2019-10-17T00:00:00Z,99,17,10,2019,2019-10-27 22:43:08.055101
367,2019-10-18T00:00:00Z,93,18,10,2019,2019-10-27 22:43:08.055101
189,2019-10-19T00:00:00Z,49,19,10,2019,2019-10-27 22:43:08.055101
200,2019-10-20T00:00:00Z,55,20,10,2019,2019-10-27 22:43:08.055101
444,2019-10-21T00:00:00Z,114,21,10,2019,2019-10-27 22:43:08.055101
305,2019-10-22T00:00:00Z,87,22,10,2019,2019-10-27 22:43:08.055101
390,2019-10-23T00:00:00Z,92,23,10,2019,2019-10-27 22:43:08.055101
297,2019-10-24T00:00:00Z,92,24,10,2019,2019-10-27 22:43:08.055101
273,2019-10-25T00:00:00Z,73,25,10,2019,2019-10-27 22:43:08.055101
140,2019-10-26T00:00:00Z,46,26,10,2019,2019-10-27 22:43:08.055101
144,2019-10-27T00:00:00Z,47,27,10,2019,2019-10-27 22:43:08.055101
67,2019-10-28T00:00:00Z,16,28,10,2019,2019-10-27 22:43:08.055101
