timestamp,count,uniques
2019-07-27T00:00:00Z,11,7
2019-07-28T00:00:00Z,4,4
2019-07-29T00:00:00Z,17,10
2019-07-30T00:00:00Z,28,16
2019-07-31T00:00:00Z,16,10
2019-08-01T00:00:00Z,28,14
2019-08-02T00:00:00Z,10,7
2019-08-03T00:00:00Z,16,8
2019-08-04T00:00:00Z,10,7
2019-08-05T00:00:00Z,30,14
2019-08-06T00:00:00Z,29,15
2019-08-07T00:00:00Z,32,17
2019-08-08T00:00:00Z,21,15
2019-08-09T00:00:00Z,34,17
2019-08-10T00:00:00Z,34,18
2019-08-11T00:00:00Z,33,19
2019-08-12T00:00:00Z,44,22
2019-08-13T00:00:00Z,48,20
2019-08-14T00:00:00Z,48,23
2019-08-15T00:00:00Z,42,22
2019-08-16T00:00:00Z,33,20
2019-08-17T00:00:00Z,24,18
2019-08-18T00:00:00Z,20,13
2019-08-19T00:00:00Z,20,17
2019-08-20T00:00:00Z,20,17
2019-08-21T00:00:00Z,30,24
2019-08-22T00:00:00Z,23,21
2019-08-23T00:00:00Z,17,16
2019-08-24T00:00:00Z,16,17
2019-08-25T00:00:00Z,14,13
2019-08-26T00:00:00Z,44,27
2019-08-27T00:00:00Z,24,20
2019-08-28T00:00:00Z,27,19
2019-08-29T00:00:00Z,30,24
2019-08-30T00:00:00Z,20,19
2019-08-31T00:00:00Z,16,13
2019-09-01T00:00:00Z,15,15
2019-09-02T00:00:00Z,32,23
2019-09-03T00:00:00Z,24,20
2019-09-04T00:00:00Z,23,18
2019-09-05T00:00:00Z,30,19
2019-09-06T00:00:00Z,22,10
2019-09-07T00:00:00Z,22,11
2019-09-08T00:00:00Z,15,11
2019-09-09T00:00:00Z,26,17
2019-09-10T00:00:00Z,26,17
2019-09-11T00:00:00Z,24,20
2019-09-12T00:00:00Z,43,32
2019-09-13T00:00:00Z,43,32
2019-09-14T00:00:00Z,40,28
2019-09-15T00:00:00Z,20,12
2019-09-16T00:00:00Z,19,11
2019-09-17T00:00:00Z,20,12
2019-09-18T00:00:00Z,33,24
2019-09-19T00:00:00Z,23,17
2019-09-20T00:00:00Z,26,21
