uniques,count,timestamp,day,mo,yr,collection_timestamp
1,1,2019-11-22T00:00:00Z,22,11,2019,2019-12-06 11:16:30.612910
16,19,2019-11-23T00:00:00Z,23,11,2019,2019-12-06 11:16:30.612910
15,16,2019-11-24T00:00:00Z,24,11,2019,2019-12-06 11:16:30.612910
19,27,2019-11-25T00:00:00Z,25,11,2019,2019-12-06 11:16:30.612910
26,35,2019-11-26T00:00:00Z,26,11,2019,2019-12-06 11:16:30.612910
24,31,2019-11-27T00:00:00Z,27,11,2019,2019-12-06 11:16:30.612910
31,43,2019-11-28T00:00:00Z,28,11,2019,2019-12-06 11:16:30.612910
15,27,2019-11-29T00:00:00Z,29,11,2019,2019-12-06 11:16:30.612910
10,15,2019-11-30T00:00:00Z,30,11,2019,2019-12-06 11:16:30.612910
15,23,2019-12-01T00:00:00Z,01,12,2019,2019-12-06 11:16:30.612910
26,43,2019-12-02T00:00:00Z,02,12,2019,2019-12-06 11:16:30.612910
20,27,2019-12-03T00:00:00Z,03,12,2019,2019-12-06 11:16:30.612910
16,17,2019-12-04T00:00:00Z,04,12,2019,2019-12-06 11:16:30.612910
20,26,2019-12-05T00:00:00Z,05,12,2019,2019-12-06 11:16:30.612910
11,16,2019-12-06T00:00:00Z,06,12,2019,2019-12-06 11:16:30.612910
