timestamp,count,uniques,day,mo,yr,collection_timestamp
2019-09-25T00:00:00Z,33,14,25,09,2019,2019-10-09 08:23:24.848069
2019-09-26T00:00:00Z,348,61,26,09,2019,2019-10-09 08:23:24.848069
2019-09-27T00:00:00Z,320,79,27,09,2019,2019-10-09 08:23:24.848069
2019-09-28T00:00:00Z,131,43,28,09,2019,2019-10-09 08:23:24.848069
2019-09-29T00:00:00Z,225,53,29,09,2019,2019-10-09 08:23:24.848069
2019-09-30T00:00:00Z,351,86,30,09,2019,2019-10-09 08:23:24.848069
2019-10-01T00:00:00Z,370,100,01,10,2019,2019-10-09 08:23:24.848069
2019-10-02T00:00:00Z,612,102,02,10,2019,2019-10-09 08:23:24.848069
2019-10-03T00:00:00Z,413,79,03,10,2019,2019-10-09 08:23:24.848069
2019-10-04T00:00:00Z,279,80,04,10,2019,2019-10-09 08:23:24.848069
2019-10-05T00:00:00Z,154,49,05,10,2019,2019-10-09 08:23:24.848069
2019-10-06T00:00:00Z,274,46,06,10,2019,2019-10-09 08:23:24.848069
2019-10-07T00:00:00Z,328,85,07,10,2019,2019-10-09 08:23:24.848069
2019-10-08T00:00:00Z,309,80,08,10,2019,2019-10-09 08:23:24.848069
2019-10-09T00:00:00Z,153,53,09,10,2019,2019-10-09 08:23:24.848069
