count,timestamp,uniques,day,mo,yr,collection_timestamp
19,2019-12-30T00:00:00Z,13,30,12,2019,2020-01-13 09:32:47.049321
171,2019-12-31T00:00:00Z,51,31,12,2019,2020-01-13 09:32:47.049321
118,2020-01-01T00:00:00Z,42,01,01,2020,2020-01-13 09:32:47.049321
168,2020-01-02T00:00:00Z,73,02,01,2020,2020-01-13 09:32:47.049321
159,2020-01-03T00:00:00Z,54,03,01,2020,2020-01-13 09:32:47.049321
146,2020-01-04T00:00:00Z,43,04,01,2020,2020-01-13 09:32:47.049321
104,2020-01-05T00:00:00Z,35,05,01,2020,2020-01-13 09:32:47.049321
495,2020-01-06T00:00:00Z,99,06,01,2020,2020-01-13 09:32:47.049321
303,2020-01-07T00:00:00Z,92,07,01,2020,2020-01-13 09:32:47.049321
256,2020-01-08T00:00:00Z,75,08,01,2020,2020-01-13 09:32:47.049321
365,2020-01-09T00:00:00Z,98,09,01,2020,2020-01-13 09:32:47.049321
385,2020-01-10T00:00:00Z,87,10,01,2020,2020-01-13 09:32:47.049321
87,2020-01-11T00:00:00Z,31,11,01,2020,2020-01-13 09:32:47.049321
69,2020-01-12T00:00:00Z,32,12,01,2020,2020-01-13 09:32:47.049321
192,2020-01-13T00:00:00Z,59,13,01,2020,2020-01-13 09:32:47.049321
