count,timestamp,uniques,day,mo,yr,collection_timestamp
39,2019-10-14T00:00:00Z,12,14,10,2019,2019-10-28 12:47:13.269049
291,2019-10-15T00:00:00Z,89,15,10,2019,2019-10-28 12:47:13.269049
267,2019-10-16T00:00:00Z,93,16,10,2019,2019-10-28 12:47:13.269049
285,2019-10-17T00:00:00Z,99,17,10,2019,2019-10-28 12:47:13.269049
367,2019-10-18T00:00:00Z,93,18,10,2019,2019-10-28 12:47:13.269049
189,2019-10-19T00:00:00Z,49,19,10,2019,2019-10-28 12:47:13.269049
200,2019-10-20T00:00:00Z,55,20,10,2019,2019-10-28 12:47:13.269049
444,2019-10-21T00:00:00Z,114,21,10,2019,2019-10-28 12:47:13.269049
305,2019-10-22T00:00:00Z,87,22,10,2019,2019-10-28 12:47:13.269049
390,2019-10-23T00:00:00Z,92,23,10,2019,2019-10-28 12:47:13.269049
297,2019-10-24T00:00:00Z,92,24,10,2019,2019-10-28 12:47:13.269049
273,2019-10-25T00:00:00Z,73,25,10,2019,2019-10-28 12:47:13.269049
140,2019-10-26T00:00:00Z,46,26,10,2019,2019-10-28 12:47:13.269049
144,2019-10-27T00:00:00Z,47,27,10,2019,2019-10-28 12:47:13.269049
299,2019-10-28T00:00:00Z,78,28,10,2019,2019-10-28 12:47:13.269049
