count,timestamp,uniques,day,mo,yr,collection_timestamp
7,2019-11-14T00:00:00Z,5,14,11,2019,2019-11-28 13:07:47.015583
253,2019-11-15T00:00:00Z,93,15,11,2019,2019-11-28 13:07:47.015583
209,2019-11-16T00:00:00Z,55,16,11,2019,2019-11-28 13:07:47.015583
151,2019-11-17T00:00:00Z,45,17,11,2019,2019-11-28 13:07:47.015583
403,2019-11-18T00:00:00Z,96,18,11,2019,2019-11-28 13:07:47.015583
416,2019-11-19T00:00:00Z,110,19,11,2019,2019-11-28 13:07:47.015583
410,2019-11-20T00:00:00Z,96,20,11,2019,2019-11-28 13:07:47.015583
328,2019-11-21T00:00:00Z,87,21,11,2019,2019-11-28 13:07:47.015583
344,2019-11-22T00:00:00Z,100,22,11,2019,2019-11-28 13:07:47.015583
242,2019-11-23T00:00:00Z,53,23,11,2019,2019-11-28 13:07:47.015583
144,2019-11-24T00:00:00Z,45,24,11,2019,2019-11-28 13:07:47.015583
423,2019-11-25T00:00:00Z,97,25,11,2019,2019-11-28 13:07:47.015583
280,2019-11-26T00:00:00Z,99,26,11,2019,2019-11-28 13:07:47.015583
303,2019-11-27T00:00:00Z,91,27,11,2019,2019-11-28 13:07:47.015583
194,2019-11-28T00:00:00Z,78,28,11,2019,2019-11-28 13:07:47.015583
