count,timestamp,uniques,day,mo,yr,collection_timestamp
111,2019-12-15T00:00:00Z,23,15,12,2019,2019-12-29 03:22:14.887232
270,2019-12-16T00:00:00Z,88,16,12,2019,2019-12-29 03:22:14.887232
234,2019-12-17T00:00:00Z,92,17,12,2019,2019-12-29 03:22:14.887232
241,2019-12-18T00:00:00Z,83,18,12,2019,2019-12-29 03:22:14.887232
352,2019-12-19T00:00:00Z,87,19,12,2019,2019-12-29 03:22:14.887232
287,2019-12-20T00:00:00Z,99,20,12,2019,2019-12-29 03:22:14.887232
85,2019-12-21T00:00:00Z,34,21,12,2019,2019-12-29 03:22:14.887232
100,2019-12-22T00:00:00Z,31,22,12,2019,2019-12-29 03:22:14.887232
166,2019-12-23T00:00:00Z,59,23,12,2019,2019-12-29 03:22:14.887232
199,2019-12-24T00:00:00Z,68,24,12,2019,2019-12-29 03:22:14.887232
140,2019-12-25T00:00:00Z,52,25,12,2019,2019-12-29 03:22:14.887232
234,2019-12-26T00:00:00Z,82,26,12,2019,2019-12-29 03:22:14.887232
249,2019-12-27T00:00:00Z,75,27,12,2019,2019-12-29 03:22:14.887232
145,2019-12-28T00:00:00Z,42,28,12,2019,2019-12-29 03:22:14.887232
17,2019-12-29T00:00:00Z,9,29,12,2019,2019-12-29 03:22:14.887232
